成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
2701,2022-08-31,000905,中证500,CSI 500,奥瑞金,"ORG Packaging Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.133,16.77,1.49,11991393632.0,715050306.0226595,8047915189.261745
601860,2022-08-31,000905,中证500,CSI 500,紫金银行,"Jiangsu Zijin Rural Commercial Bank Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.133,6.33,0.65,10433774746.0,1648305647.077409,16051961147.692307
600064,2022-08-31,000905,中证500,CSI 500,南京高科,NANJING GAOKE COMPANY LIMITED,上海证券交易所,Shanghai  Exchange,0.133,4.31,0.77,12112377508.0,2810296405.5684457,15730360400.0
601718,2022-08-31,000905,中证500,CSI 500,际华集团,Jihua Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.132,39.92,0.8,13745800035.0,344333668.21142286,17182250043.75
600409,2022-08-31,000905,中证500,CSI 500,三友化工,Tangshan Sanyou Chemical Industries Co Ltd,上海证券交易所,Shanghai  Exchange,0.132,9.56,1.07,13955002268.0,1459728270.711297,13042058194.392523
537,2022-08-31,000905,中证500,CSI 500,广宇发展,Tianjin Guangyu Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.132,32.85,1.67,26969300026.0,820983258.0213089,16149281452.69461
600782,2022-08-31,000905,中证500,CSI 500,新钢股份,"Xinyu Iron & Steel Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.13,4.7,0.5,13360748096.0,2842712360.8510637,26721496192.0
600566,2022-08-31,000905,中证500,CSI 500,济川药业,"HUBEI JUMPCAN PHARMACEUTICAL CO., LTD.",上海证券交易所,Shanghai  Exchange,0.13,10.07,2.17,20448249131.0,2030610638.629593,9423156281.56682
600037,2022-08-31,000905,中证500,CSI 500,歌华有线,Beijing Gehua CATV Network Co Ltd,上海证券交易所,Shanghai  Exchange,0.13,111.14,0.9,11510003101.0,103563101.50260933,12788892334.444445
2153,2022-08-31,000905,中证500,CSI 500,石基信息,Beijing Shiji Information Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.13,407.31,3.52,28194671762.0,69221653.68392625,8009849932.386364
600737,2022-08-31,000905,中证500,CSI 500,中粮糖业,"COFCO SUGAR HOLDING CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.129,13.14,1.58,16554685285.0,1259869504.1856925,10477648914.556961
785,2022-08-31,000905,中证500,CSI 500,居然之家,"EASYHOME NEW RETAIL GROUP CO., LTD",深圳证券交易所,Shenzhen  Exchange,0.129,12.93,1.42,27160793500.0,2100602745.5529776,19127319366.197186
603927,2022-08-31,000905,中证500,CSI 500,中科软,"Sinosoft Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.127,41.7,5.81,13569696000.0,325412374.1007194,2335575903.614458
600195,2022-08-31,000905,中证500,CSI 500,中牧股份,China Animal Husbandry Industry Co Ltd,上海证券交易所,Shanghai  Exchange,0.127,26.85,2.64,13805924475.0,514187131.28491616,5229516846.590909
600435,2022-08-31,000905,中证500,CSI 500,北方导航,"North Navigation Control Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.127,57.82,5.62,13552812000.0,234396610.16949153,2411532384.341637
688289,2022-08-31,000905,中证500,CSI 500,圣湘生物,Sansure Biotech Inc.,上海证券交易所,Shanghai  Exchange,0.127,7.16,2.23,16112029406.0,2250283436.592179,7225125294.1704035
601456,2022-08-31,000905,中证500,CSI 500,国联证券,"Guolian Securities Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.126,35.2,1.86,30781374336.0,874470861.8181818,16549125987.096773
600062,2022-08-31,000905,中证500,CSI 500,华润双鹤,"CHINA RESOURCES DOUBLE-CRANE PHARMACEUTICAL CO.,LTD.",上海证券交易所,Shanghai  Exchange,0.126,14.35,2.14,21146428382.0,1473618702.5783973,9881508589.719625
601991,2022-08-31,000905,中证500,CSI 500,大唐发电,"Datang International Power Generation Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.126,22.81,2.1,63848151239.0,2799129821.9640512,30403881542.38095
600597,2022-08-31,000905,中证500,CSI 500,光明乳业,Bright Dairy & Food Co Ltd,上海证券交易所,Shanghai  Exchange,0.124,27.01,1.91,15206408719.0,562991807.4416882,7961470533.5078535
600871,2022-08-31,000905,中证500,CSI 500,石化油服,Sinopec Oilfield Service Corporation,上海证券交易所,Shanghai  Exchange,0.124,91.0,4.91,36449932863.0,400548712.7802198,7423611581.059063
601958,2022-08-31,000905,中证500,CSI 500,金钼股份,Jinduicheng Molybdenum Co Ltd,上海证券交易所,Shanghai  Exchange,0.123,18.9,2.02,25135248276.0,1329907316.1904762,12443192215.841583
688208,2022-08-31,000905,中证500,CSI 500,道通科技,"Autel Intelligent Technology Corp.,Ltd.",上海证券交易所,Shanghai  Exchange,0.123,72.0,4.24,12333390194.0,171297086.0277778,2908818441.981132
600398,2022-08-31,000905,中证500,CSI 500,海澜之家,"Heilan Home Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.123,7.53,1.42,19222246264.0,2552755147.941567,13536793143.661972
