代码,序号,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
993,2216,闽东电力,12.07,1.34,0.16,86337.0,104465186.18,3.19,12.25,11.87,11.88,11.91,0.42,1.96,19.84,2.55,5527474062.0,5307753194.0,0.0,0.08,-9.25,-11.12
600271,2217,航天信息,10.57,1.34,0.14,59922.0,63214051.0,2.11,10.62,10.4,10.4,10.43,1.09,0.32,33.58,1.47,19584990624.0,19584990624.0,0.0,0.0,-4.6,-20.05
600127,2218,金健米业,9.06,1.34,0.12,393565.0,351974955.0,2.91,9.06,8.8,8.88,8.94,0.87,6.13,-156.62,8.34,5814555955.0,5814555955.0,0.0,0.22,-2.27,7.09
2326,2219,永太科技,27.98,1.34,0.37,170007.0,468997488.71,2.35,27.98,27.33,27.71,27.61,0.68,2.52,24.84,6.24,24526324934.0,18891188581.0,0.04,0.14,-7.04,-45.26
301090,2220,华润材料,11.35,1.34,0.15,53861.0,60696400.0,1.7,11.37,11.18,11.25,11.2,0.41,3.02,19.46,2.55,16791377877.0,2026942168.0,-0.09,-0.09,1.34,-13.95
301082,2221,久盛电气,19.69,1.34,0.26,25762.0,50541797.05,3.6,19.89,19.19,19.73,19.43,0.52,7.1,33.25,3.02,3182876883.0,714542539.0,-0.51,-0.51,9.03,-19.86
1313,2222,粤海饲料,10.62,1.34,0.14,55972.0,58808158.61,3.24,10.66,10.32,10.45,10.48,0.71,5.6,-70.29,2.83,7434000000.0,1062000000.0,-0.09,0.09,-16.05,99.25
300508,2223,维宏股份,22.76,1.34,0.3,10696.0,24329720.0,3.56,23.1,22.3,22.53,22.46,0.89,1.89,39.31,3.92,2482988544.0,1285211157.0,0.26,0.31,11.84,-30.65
2291,2224,星期六,16.7,1.33,0.22,99562.0,166354262.44,3.64,17.06,16.46,16.47,16.48,0.82,1.18,68.62,2.72,15217022532.0,14070699545.0,0.48,0.6,6.85,-16.33
603324,2225,盛剑环境,41.8,1.33,0.55,32802.0,136478508.0,5.26,42.49,40.32,41.39,41.25,0.69,7.47,41.78,3.93,5229869700.0,1835856042.0,0.0,0.12,11.26,-28.29
